,County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone,lat,lng
13,Avery,CD,LF,0603-CDLF-1996,Avery County C&D Landfill,Active,2175 Brushy Creek Rd.,Spruce Pine,Mr. Eric Foster,(828) 737-5420,35.9505751,-82.000799
14,Avery,MSW,Trans,0603-TRANSFER-,Avery County Transfer Station,Active,2175 Brushy Creek Rd,Spruce Pine,Mr. Eric Foster,(828) 737-5420,35.9505751,-82.000799
15,Beaufort,MSW,Trans,0703T-TRANSFER-2012,Beaufort Transfer Station,Active,500 Flander Filter Road,Washington,Mr. Nicky Hopkins,(252) 644-3207,35.5937962,-77.11296449999999
16,Bertie,MSW,LF,0803-MSWLF-1993,East Carolina Environmental Regional Landfill,Active,1922 Republican Road,Aulander,Mr. Michael Kavanaugh,(252) 584-0026,36.115539,-77.064747
17,Bladen,MSW,Trans,0904T-TRANSFER-1995,Bladen County Transfer Station,Active,1522 Mercer Mill Road,Elizabethtown,Mr. Kip McClary,(910) 872-6320,34.6071469,-78.6030242
18,Yancey,MSW,Trans,10003T-TRANSFER-1995,Yancey-Mitchell Transfer Station,Active,555 LANDFILL ROAD,Burnsville,Mrs. TERESA SUMMERLIN,(828) 675-4043,35.9304099,-82.1786035
19,Brunswick,CD,LF,1007-CDLF-1997,Brunswick County CDLF,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524,34.8601796,-77.9681478
20,Brunswick,TypeI,Compost,1007-COMPOST-,Brunswick County Compost Facility,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524,34.8601796,-77.9681478
21,Brunswick,MSW,Trans,1010T-TRANSFER-1997,Brunswick County Transfer Station,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524,34.8601796,-77.9681478
22,Brunswick,LCID,LF,10E-LCID-1993,Brunswick County LCID Landfill,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524,34.8601796,-77.9681478
23,Buncombe,MSW,Trans,1104-TRANSFER-1993,Waste Management Of Asheville,Active,24 Pond Rd,Asheville,Mr. James Harris,(828) 210-1131,35.5484105,-82.6026894
24,Buncombe,CD,LF,1107-CDLF-1998,Buncombe County C&D Unit,Active,81 Panther Branch Road,Alexander,Mr. Dane Pedersen,(828) 250-5460,35.7288362,-82.6360443
25,Buncombe,MSW,LF,1107-MSWLF-1996,Buncombe County MSW Landfill,Active,81 Panther Branch Road,Alexander,Mr. Dane Pedersen,(828) 250-5460,35.7288362,-82.6360443
26,Buncombe,MSW,Trans,1108T-TRANSFER-1996,Buncombe County Transfer Station,Active,190 Hominy Creek Road,Asheville,Mr. Dane Pedersen,(828) 250-5460,35.5570841,-82.5940327
27,Buncombe,TypeI,Compost,1109-COMPOST-,Hensons' Inc. Mulch & More Asheville,Active,116 Pond Rd.,Asheville,Mr. Randy Flynn,(828) 859-5836,35.5443443,-82.6058887
28,Buncombe,LCID,TP,1111-TP-,Riverside Stump Dump at Asheville,Active,620 Riverside Drive,Asheville,Mrs. Clara Ray,(828) 258-7339,35.607191,-82.5777205
29,Buncombe,MatRecovery,Trans,1114-TRANSFER-2009,Handle Safe Systems Transfer Facility,Active,432 Old Leicester Hwy,Asheville,Mr. Mike Griffin,(828) 273-9544,35.6320232,-82.6197396
30,Buncombe,TypeIII,Compost,1115-COMPOST-2009,Warren Wilson College,Active,701 Warren Wilson Road,Swannanoa,Mrs. Megan Davis,(828) 771-2014,35.6114087,-82.4414224
31,Buncombe,TypeIII,Compost,1118-COMPOST-2016,"Danny's Dumpster, Inc.",Active,120 Hardesty Lane,Asheville,Mr. Danny Keaton,(828) 380-9094,35.5733998,-82.4869823
32,Buncombe,Indus,LF,1119-INDUS-2020,Duke Energy Progress - Asheville,Active,46 Duke Energy Lane,Arden,Ms. Bryson Allison,(980) 373-6636,35.4670682,-82.5417719
33,Burke,CD,LF,1203-CDLF-2014,Burke County Johns River Waste Management,Active,2500 Marsh Trail,Morganton,Mr. Miles Champion,(828) 764-9064,35.78525,-81.645287
34,Burke,MSW,Trans,1205T-TRANSFER-1998,Burke County Transfer Facility,Active,2500 Marsh Trail,Morganton,Mr. Miles Champion,(828) 764-9064,35.78525,-81.645287
35,Cabarrus,CD,LF,1302-CDLF-2006,Cabarrus County CDLF,Active,4441 Irish Potato Rd,Concord,Mr. Kevin Grant,(704) 920-3209,35.476934,-80.51762389999999
36,Cabarrus,TypeI,Compost,1302-COMPOST-2013,Cabarrus County Organics Reclamation Facility,Active,4441 Irish Potato Rd,Concord,Mr. Kevin Grant,(704) 920-3209,35.476934,-80.51762389999999
37,Cabarrus,Tire,LF,1303-TIRELF-1988,US Tire Recycling Partners LP,Active,6322 Poplar Tent Rd,Concord,Mr. Gene Helton,(704) 784-1210,35.4072133,-80.67854129999999
38,Cabarrus,MSW,LF,1304-MSWLF-1992,BFI-Charlotte Mtr Speedway Landfill V,Active,5105 Morehead Rd,Concord,Mr. Rob LaTourette,(704) 712-8560,35.345295,-80.68204
39,Cabarrus,Medical,TP,1305TP-TP-,Stericycle,Active,4403 Republic Court,Concord,Mr. Steve Elliott,(803) 730-1876,35.4185644,-80.6516599
40,Cabarrus,CD,LF,1306-CDLF-2000,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Rd,Concord,Mr. Andrew Burris,(704) 201-5944,35.3378513,-80.6145468
41,Cabarrus,LCID,TP,1306-COMPOST-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Dr.,Concord,Mr. Andrew Burris,(704) 201-5944,35.3378513,-80.6145468
42,Cabarrus,LCID,TP,1306-TP-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Rd,Concord,Mr. Andrew Burris,(704) 201-5944,35.3378513,-80.6145468
43,Cabarrus,LCID,LF,1307-LCID-2009,"Tarheel Bark Company - A Division of Garick, LLC",Active,8829 rocky river rd,harrisburg,Mrs. Michelle Sanderson,(704) 456-8269,35.291357,-80.63715400000001
44,Cabarrus,LCID,TP,1307-TP-2009,Tarheel Bark Company - A Division of Garick LLC,Active,8829 Rocky river rd,harrisburg,Mrs. Michelle Sanderson,(704) 456-8263,35.291357,-80.63715400000001
45,Cabarrus,HHW,Collection,1308-HHW-,Cabarrus County HHW Collection Facility,Active,246 General Services Drive SW,Concord,Mr. Kevin Grant,(704) 920-3209,35.372947,-80.5637849
46,Cabarrus,Tire,TP,1310-TIRETP-2012,US Tire Recycling Partners LP,Active,6322 Poplar Tent Rd,Concord,Mr. Gene Helton,(704) 784-1210,35.4072133,-80.67854129999999
47,Cabarrus,LCID,LF,13F-LCID-2013,Morehead LCID Landfill,Active,5001 Morehead Road,Concord,Mr. Doug Foster,(704) 361-1218,35.345045,-80.68220699999999
48,Caldwell,MSW,LF,1403-MSWLF-1998,Foothills Environmental Landfill,Active,2800 CHERAW RD,Lenoir,Mr. STEPHEN HUNTER,(828) 394-3133,35.9153189,-81.5952409
49,Carteret,MSW,Trans,1604-TRANSFER-1993,CRSWMA-Carteret County Transfer Station,Active,800 Hibbs Road,Newport,Mr. Bobby Darden,(252) 633-1564,34.7553005,-76.8757432
50,Catawba,CD,LF,1803-CDLF-,Blackburn Resource Recovery C&D Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348,35.6080013,-81.3116376
51,Catawba,TypeI,Compost,1803-COMPOST-,Blackburn Resource Recovery Composting Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348,35.6080013,-81.3116376
52,Catawba,MSW,LF,1803-MSWLF-1997,Blackburn Resource Recovery Landfill Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348,35.6080013,-81.3116376
53,Catawba,LCID,TP,1803-TP-,Blackburn Resource Recovery T&P Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348,35.6080013,-81.3116376
54,Catawba,MSW,Trans,1805-TRANSFER-2001,GDS Recycling Services,Active,130 SOMERSET DRIVE NW,Conover,Mrs. LADONNA BOLTON,(828) 419-3031,35.7240938,-81.2509051
55,Catawba,TypeI,Compost,1806-COMPOST-,"Hickory, City of Compost Facility",Active,909 Cloninger Mill Rd,Hickory,Mr. Andrew Ballentine,(828) 323-7439,35.7866662,-81.30093509999999
56,Catawba,MSW,Trans,1808T-TRANSFER-,"Hickory, City of Transfer Station",Active,1050 1st Ave SW,Hickory,Mr. Andrew Ballentine,(828) 323-7439,35.731086,-81.35578199999999
57,Catawba,Indus,LF,1809-INDUS-2006,Duke Energy Carolinas-Marshall FGD,Active,8320 East Highway 150,Terrell,Mrs. Tyler Hardin,(980) 373-5697,35.5936415,-80.96584659999999
58,Catawba,Indus,LF,1812-INDUS-2008,"Duke Energy Carolinas - Marshall, Industrial",Active,8320 East Highway 150,Terrell,Mrs. Tyler Hardin,(980) 373-5697,35.5936415,-80.96584659999999
59,Chatham,MSW,Trans,1903T-TRANSFER-1993,Waste Man. - Chatham Co Transfer Station,Active,361 Waste Treatment Plant Rd,Siler City,Mr. Travis McClung,(919) 405-1497,35.7304951,-79.4281475
60,Chatham,HHW,Collection,1904TP-HHW-,Chatham Co HHW Collection Facility,Active,39 County Services Road,Pittsboro,Ms. Shannon Culpepper,(919) 545-7874,35.741919,-79.26305289999999
61,Chatham,TypeIII,Compost,1905-COMPOST-,Dean Brooks Farm,Active,1193 Beal Road,Goldston,Mrs. Amy Fulford,(919) 842-6063,35.5461623,-79.3689071
62,Chatham,TypeIV,Compost,1906-COMPOST-,McGill - Merry Oaks Compost Facility,Active,634 Christian Chapel Church Road,New Hill,Mrs. Misti Godwin,(919) 770-4416,35.6347434,-79.00726619999999
63,Chatham,LCID,LF,1909-LCID-2010,Stone Landfill LCID,Active,52 Rock Hill Drive,Chapel Hill,Mr. Alan Stone,(919) 971-0918,35.8017271,-79.0318173
64,Chatham,CCR,SF,1910-STRUC-2015,Brickhaven No. 2,Active,1271 Moncure-Flatwood Road,Moncure,Mr. Tom Flannagan,(502) 709-3273,35.5945895,-79.0107507
65,Chatham,CD,TP,1912-TP-2020,Pinnacle Waste Goldson Facility,Active,67 Gulf Rd.,Goldston,Mr. Bobby Branch,(919) 708-8465,35.5634375,-79.2887263
66,Cherokee,MSW,LF,2002-MSWLF-1998,Cherokee County MSW Facility,Active,75 Peachtree St,Murphy,Mr. ROBERT WARD,(828) 837-2621,35.086994,-84.032853
67,Chowan,MSW,Trans,2101T-TRANSFER-2001,"Edenton, Town of Transfer Station",Active,118 W. Hicks St.,Edenton,Mr. Corey Gooden,(252) 482-4111,36.0676994,-76.6082811
68,Chowan,TypeII,Compost,2102-COMPOST-2015,Good Earth Horticulture,Active,2116 B Bio comp drive,"Edenton,",Mr. R V Knight,(252) 482-8528,36.021208,-76.5535544
69,Clay,MSW,Trans,2202T-TRANSFER-1997,Clay County Transfer Station,Active,1160 Hinton Center Rd.,Hayesville,Mr. Kevin Shaheen,(828) 389-9133,35.03014599999999,-83.7847929
70,Cleveland,CD,LF,2301-CDLF-1997,Cleveland County CDLF,Active,1607 AIRPORT RD,Shelby,Mr. NATHAN MCNEILLY,(704) 447-8204,35.3262915,-81.484203
71,Cleveland,MSW,LF,2301-MSWLF-2009,Cleveland County Landfill SeLF,Active,250 FIELDING RD,Cherryville,Mr. NATHAN MCNEILLY,(704) 447-8204,35.3413366,-81.46815629999999
72,Columbus,LCID,LF,2401-LCID-2000,Columbus County Landfill,Active,107 Landfill Road,Whiteville,Mrs. Amanda Davis,(910) 234-1417,34.289712,-78.751679
73,Columbus,Indus,LF,2402-INDUS-2005,International Paper,Active,865 John L Riegel Road,Riegelwood,Mr. TIm Gill,(910) 362-4934,34.3536779,-78.2127818
74,Columbus,MSW,Trans,2403T-TRANSFER-1997,Columbus County Transfer Station,Active,107 Landfill Road,Whiteville,Mrs. Amanda Davis,(910) 234-1417,34.289712,-78.751679
75,Columbus,CD,TP,2404-TRANSFER-2020,Big D T&P Facility,Active,1535 Old 87 Road,Delco,Mr. Donald Grainger,(843) 340-8815,34.3120933,-78.2074922
76,Craven,TypeI,Compost,2506-COMPOST-1991,New Bern Yard Waste Facility,Active,1803 Country Club Road,New Bern,Mr. David Cox,(252) 637-7310,35.0976386,-77.0614205
77,Craven,MSW,LF,2509-MSWLF-1999,CRSWMA - Long Term Regional Landfill,Active,7400 Old Highway 70 West,New Bern,Mr. Bobby Darden,(252) 633-1564,35.1634758,-77.227524
78,Craven,MSW,Trans,2510T-TRANSFER-1997,Cherry Point Transfer Station,Active,100 Mockingbird Hill Bldg 4185,MCAS Cherry Point,Mr. Nathan Arnett,(252) 466-5271,34.883318,-76.9062
79,Craven,TypeI,Compost,2511-COMPOST-2000,CRSWMA Composting Facility,Active,7400 Old U.S. Hwy 70 W.,New Bern,Mr. Bobby Darden,(252) 633-1564,35.1634758,-77.227524
80,Craven,LCID,LF,2513-LCID-2013,Craven LCID Landfill,Active,415 Streets Ferry Rd.,Vanceboro,Mr. Terry Morris,(252) 670-6749,35.28941560000001,-77.15262969999999
81,Craven,TypeIII,Compost,2514-COMPOST-2014,Craven Ag Service Compost Facility,Active,2115 Hwy 55 West,New Bern,Mr. John Dunham,(252) 633-5334,35.1670215,-77.1620099
82,Craven,LCID,LF,25B-LCID-,Cherry Point LCID,Active,Environmental Affairs Department,MCAS Cherry Point,Mr. Nathan Arnett,(252) 466-5271,34.883318,-76.9062
83,Craven,LCID,LF,25I-LCID-,Cieszko LCID,Active,1090 NC Hwy 101,Havelock,Mr. Martin Cieszko,(252) 447-2096,34.876009,-76.85128
84,Cumberland,CD,LF,2601-CDLF-1997,Cumberland County C&D Unit,Active,698 Ann Street,Fayetteville,Ms. Amanda Bader,(910) 438-4041,35.0623009,-78.8717368
85,Cumberland,MSW,LF,2601-MSWLF-1997,Cumberland County Landfill,Active,698 Ann Street,Fayetteville,Ms. Amanda Bader,(910) 438-4041,35.0623009,-78.8717368
86,Cumberland,MSW,Trans,2606T-TRANSFER-1998,Fort Bragg Transfer Station,Active,Building # O-3454,Fort Bragg,Mr. Shawn Hardy,(910) 396-2295,35.1414552,-79.0079949
87,Cumberland,MSW,Trans,2609-TRANSFER-,Fort Bragg Transfer Station,Active,583 Winslow Street,Fayetteville,Mr. LeRoy Hatmaker,(910) 237-2825,35.0453178,-78.8892588
88,Cumberland,TypeI,Compost,2610-COMPOST-2011,Wilkes Road Yard Waste Facility,Active,771 Wilkes Road,Fayetteville,Ms. Amanda Bader,(919) 438-4041,35.026288,-78.8707249
89,Cumberland,LCID,LF,2612-LCID-2008,Highland LCID Landfill,Active,6020 Murchison Rd.,Fayetteville,Mr. Steve Waters,(910) 978-2412,35.1186153,-78.93295979999999
90,Cumberland,CD,Trans,2613-TRANSFER-2010,AAA Hauling Of NC Inc,Active,1171 S Eastern Blvd,Fayetteville,Mr. Kenneth Hardin,(910) 321-6037,35.0275171,-78.8842181
91,Cumberland,HHW,Collection,26FH-HHW-,Cumberland Co HHW Collection Facility,Active,823 Wilkes Road,Fayetteville,Ms. Amanda Bader,(910) 438-4041,35.0245212,-78.87183569999999
92,Cumberland,LCID,LF,26K-LCID-,Doc Bennett LCID Landfill,Active,Sandy Run Rd.,Fayetteville,Mr. Steve Waters,(910) 978-2412,34.9635184,-78.86232179999999
93,Cumberland,LCID,LF,26L-LCID-,Snow Hill LCID Landfill,Active,Claude Lee Road,Fayetteville,"Mr. Jerald F. McDonald, Jr.",(910) 630-2200,34.9825609,-78.8903256
94,Cumberland,LCID,LF,26M-LCID-2012,"Autry Grading, Inc., LCID Landfill",Active,5124 US Hwy 301 S,Hope Mills,Mr. Kenneth Autry,(910) 424-3458,34.9484317,-78.9294756
95,Currituck,MSW,Trans,2703T-TRANSFER-1996,Currituck Transfer Station,Active,153 Courthouse Road Suite 302,Currituck,Mr. Leighton Earwood,(252) 232-2504,36.4499012,-76.01632
96,Currituck,CD,Trans,2705T-TRANSFER-2011,Soundside C&D Waste Transfer & Recycling Center,Active,7565 Caratoke Hwy,Jarvisburg,Ms. Kim Newbern,(252) 491-8666,36.1690518,-75.8597272
97,Currituck,CD,Trans,2706-TRANSFER-2013,"Bay Disposal, LLC",Active,8546 Caratoke Hwy,Powells Point,Mr. Joshua Smaltz,(757) 355-1591,36.1098373,-75.82518259999999
98,Dare,CD,LF,2803-CDLF-1995,Dare County C&D Landfill,Active,1603 Cub Rd,Manns Harbor,Mr. Jonathan DeWeese,(252) 473-2059,35.8312955,-75.81817710000001
99,Dare,MSW,Trans,2805T-TRANSFER-,Dare County Transfer Station,Active,1603 Cub Rd,Manns Harbor,Mr. Jonathan DeWeese,(252) 473-2059,35.8312955,-75.81817710000001
100,Davidson,HHW,Collection,2906-HHW-,Davidson County HHW,Active,220 Davidson County Landfill Road,Lexington,Mr. Charlie Brushwood,(336) 240-0303,35.8371961,-80.1710635
101,Davidson,MSW,LF,2906-MSWLF-2008,Davidson County MSW Lined Landfill,Active,1160 Old Hwy 29,Thomasville,Mr. Charlie Brushwood,(336) 240-0303,35.8527991,-80.17776330000001
102,Davidson,MSW,Trans,2906-TRANSFER-2013,Davidson County Transfer Facility,Active,1242 Old Highway 29,Thomasville,Mr. Charlie Brushwood,(336) 240-0303,35.852307,-80.176552
103,Davidson,TypeI,TP,2908-TP-,"Todco, Inc. Wood Recycling",Active,1123 Roy Lopp Rd,Lexington,Mr. Todd Warfford,(336) 248-2001,35.830315,-80.1747182
104,Davidson,CD,Trans,2908-TRANSFER-2013,"Todco, Inc. - C&D Transfer",Active,1123 Roy Lopp Rd.,Lexington,Mr. Todd Warfford,(336) 248-2001,35.830315,-80.1747182
105,Davidson,LCID,LF,2909-LCID-2013,"Veach Landfill, L.L.C.",Active,4261 Old Thomasville Rd,Winston Salem,Mr. Michael Phillips,(336) 462-3643,35.979548,-80.189527
106,Davie,TypeIII,Compost,3004-COMPOST-2014,Davie County Compost Facility,Active,221 Wallace Fam Lane,Advance,Mr. Eric Wallace,(704) 875-2975,35.9791135,-80.50261309999999
107,Davie,TypeIII,Compost,3005-COMPOST-2014,Gallins Family Farm,Active,222 Rocky Dale Lane,Mocksville,Mrs. Lyndsy Gallins,(336) 448-9494,35.973268,-80.53904
108,Duplin,MSW,Trans,3103-TRANSFER-2007,Duplin County Transfer Station,Active,325 Landfill Road,Rose Hill,Mr. Derrel Whaley,(910) 289-3091,34.8595511,-77.97998559999999
109,Duplin,LCID,LF,31B-LCID-2000,Duplin County LCID Landfill,Active,325 Landfill Road,Rose Hill,Mrs. Joy Pickett,(910) 289-3091,34.8595511,-77.97998559999999
110,Durham,TypeI,Compost,3204-COMPOST-1991,Durham Compost Facility,Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186,36.0263287,-78.857219
111,Durham,HHW,Collection,3212-HHW-2014,Durham City of HHW,Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186,36.0263287,-78.857219
112,Durham,MSW,Trans,3212-TRANSFER-2014,"Durham, City of Transfer Station",Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186,36.0263287,-78.857219
113,Durham,MSW,Trans,3214T-TRANSFER-2001,Stone Park Court Transfer Station,Active,210 Stone Park Ct.,Durham,Mr. William Davidson,(919) 596-1363,35.9502491,-78.85580329999999
114,Durham,TypeIII,Compost,3216-COMPOST-2017,"New Soil Vermiculture, LLC",Active,314 Latta Road,Durham,Mr. Garry Lipscomb,(202) 374-0403,36.0777532,-78.9198985
115,Durham,CD,TP,3217-MWP-2019,Elite Waste Services Holman MWP Facility,Active,201 S. Holman St.,Durham,Mr. Gary Getty,(321) 441-5977,35.9857136,-78.8875302
116,Durham,LCID,LF,32F-LCID-,Fogleman and Fogleman Landfill & Recycling Facility,Active,4005 Intermere Road,Durham,Mrs. Linda Fogleman,(919) 682-0068,36.0494419,-78.81290469999999
117,Durham,LCID,LF,32I-LCID-,Currin Landfill #2,Active,1810 Coley Road,Durham,Mr. Glenn Currin,(919) 876-1138,35.968941,-78.74203
118,Durham,LCID,LF,32J-LCID-1999,Waste Industries- Stone Park Ct. LCID LF,Active,208 Stone Park Ct,Durham,Mr. Donald Plessinger,(919) 557-9583,35.9502491,-78.85580329999999
119,Edgecombe,CD,LF,3301-CDLF-1997,Edgecombe County CDLF,Active,2872 Colonial Road,Tarboro,Ms. Gloria Moseley,(258) 827-4253,35.8221102,-77.5632476
120,Edgecombe,MSW,Trans,3302T-TRANSFER-1998,Edgecombe County Transfer Station,Active,2872 Colonial Rd,Tarboro,Ms. Gloria Moseley,(252) 827-4253,35.8221102,-77.5632476
121,Edgecombe,TypeIV,Compost,3303-COMPOST-2010,"Eastern Compost, LLC",Active,8487 Battleboro-Leggett Road,Battleboro,Mrs. Jean Smith,(252) 446-2536,36.0391033,-77.7414314
122,Edgecombe,LCID,LF,33F-LCID-,Barnhill Contracting LCID Landfill,Active,10826 NC 97,Rocky Mount,Mr. Brent Caudle,(252) 904-3358,35.9781158,-77.7492608
123,Edgecombe,LCID,LF,33G-LCID-,"Rocky Mount , City of LCID Landfill",Active,3873 Old Battleboro Road,Rocky Mount,Mr. Chris Pridgen,(252) 467-4909,35.9989519,-77.75351409999999
124,Forsyth,MSW,LF,3402-MSWLF-1997,Hanes Mill Road Landfill,Active,325 West Hanes Mill Road,Winston-Salem,Mrs. Janis McHargue,(336) 747-7310,36.188006,-80.28243690000001
125,Forsyth,YW,TP,3409-TP-,Overdale Yard Waste Facility,Active,4010 Old Milwaukee Lane,Winston-Salem,Mrs. Janis NcHargue,(336) 747-7310,36.0381357,-80.2239756
126,Forsyth,CD,LF,3412-CDLF-1995,"Winston-Salem, City of Old Salisbury Road CDLF",Active,3336 Old Salisbury Road,Winston-Salem,Mrs. Janis McHargue,(336) 747-7310,35.997859,-80.27011999999999
127,Forsyth,HHW,Collection,3415-HHW-2010,"Resource Recovery And Reduction, Co.",Active,"1401 S. MLK, Jr. Drive",Winston-Salem,Ms. Michele Sakwa,(336) 784-4300,36.0803749,-80.2198714
128,Forsyth,MSW,Trans,3416T-TRANSFER-,Overdale Road Transfer Station,Active,5000 Overdale Road,Winston-Salem,Mr. Carldelle Patrick,(336) 714-4301,36.0332214,-80.232095
129,Forsyth,LCID,TP,3419-TP-,"Lowder Recycling And Disposal, LLC",Active,2810 GRIFFITH RD,WINSTON SALEM,Mr. MATT ALSPAUGH,(336) 760-0477,36.0375446,-80.3133424
130,Forsyth,Indus,TP,3420-INDUS-2005,OmniSource Southeast,Active,2233 Wal-Pat Rd,Smithfield,Mr. James Winegar,(919) 796-3023,35.481267,-78.365974
131,Forsyth,TypeIII,Compost,3421-COMPOST-2010,Dixie Classic Fairgrounds,Active,421 west 27th street,Winston Salem,Mr. David Smith,(336) 409-4881,36.1279412,-80.2538132
132,Forsyth,LCID,TP,3422-TP-,Slater Industries Treatment and Processing Facility,Active,945 Valley Stream Road,Winston-Salem,Mr. Joe Slater,(336) 416-6097,36.0822807,-80.3674935
133,Forsyth,TypeI,Compost,3423-COMPOST-,"Winston-Salem, City of Compost",Active,180 North Star Drive,Rural Hall,Ms. Janis McHargue,(336) 747-7310,36.206981,-80.28871199999999
134,Forsyth,CD,Trans,3424-TRANSFER-2010,"Abbey Green, Inc",Active,5030 Overdale Rd.,Winston Salem,Mr. Ronald Petty,(336) 207-6052,36.0323363,-80.2341656
135,Forsyth,YW,TP,3425-TP-2011,"Winston-Salem, City of Treatment & Processing Site",Active,3 W. 32nd Street,Winston-Salem,Mr. Tobias Mack,(336) 734-1490,36.132394,-80.2450046
136,Forsyth,TypeI,Compost,3427-COMPOST-2015,Piney Hill Acres Large Type 1 Compost Unit,Active,2020 Piney Grove Rd.,Kernersville,Mr. David Lawson,(336) 682-2317,36.1734517,-80.05900950000002
137,Forsyth,LCID,LF,34AA-LCID-,Piney Hill Acres LCID Landfill,Active,2020 Piney Grove Rd.,Kernersville,Mr. David Lawson,(336) 682-2317,36.1734517,-80.05900950000002
138,Franklin,MSW,Trans,3503-TRANSFER-,Franklin County Transfer Station,Active,32 Landfill Road,Franklinton,"Mr. Lee Bodenhamer, III",(919) 340-4670,36.0556753,-78.376391
139,Franklin,LCID,LF,3505-LCID-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747,36.066874,-78.486555
140,Franklin,CD,MatRecovery,3505-MWP-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747,36.066874,-78.486555
141,Franklin,CD,TP,3505-TP-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747,36.066874,-78.486555
142,Franklin,TypeIII,Compost,3506-COMPOST-2012,David Brantley & Sons Compost Facility,Active,154 Green House Dr,Zebulon,Mr. Eric Vance Reynolds JR,(978) 209-2966,35.9263095,-78.2561801
143,Franklin,Tire,TP,3507-TIRETP-2016,"PRTI, INC.",Active,2105 US 1 HWY,Franklinton,Mr. Scott Clagett,(919) 272-4414,36.0647307,-78.48646649999999
144,Gaston,CD,LF,3606-CDLF-1995,Gaston County C&D Landfill,Active,3155 Philadelphia Church Road,Dallas,Mr. Ray Maxwell,(704) 862-7551,35.388153,-81.17245659999999
