County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone
Clay,MSW,Trans,2202T-TRANSFER-1997,Clay County Transfer Station,Active,1160 Hinton Center Rd.,Hayesville,Mr. Kevin Shaheen,(828) 389-9133
Cleveland,CD,LF,2301-CDLF-1997,Cleveland County CDLF,Active,1607 AIRPORT RD,Shelby,Mr. NATHAN MCNEILLY,(704) 447-8204
Cleveland,MSW,LF,2301-MSWLF-2009,Cleveland County Landfill SeLF,Active,250 FIELDING RD,Cherryville,Mr. NATHAN MCNEILLY,(704) 447-8204
Columbus,LCID,LF,2401-LCID-2000,Columbus County Landfill,Active,107 Landfill Road,Whiteville,Mrs. Amanda Davis,(910) 234-1417
Columbus,Indus,LF,2402-INDUS-2005,International Paper,Active,865 John L Riegel Road,Riegelwood,Mr. TIm Gill,(910) 362-4934
Columbus,MSW,Trans,2403T-TRANSFER-1997,Columbus County Transfer Station,Active,107 Landfill Road,Whiteville,Mrs. Amanda Davis,(910) 234-1417
Columbus,CD,TP,2404-TRANSFER-2020,Big D T&P Facility,Active,1535 Old 87 Road,Delco,Mr. Donald Grainger,(843) 340-8815
Craven,Type I,Compost,2506-COMPOST-1991,New Bern Yard Waste Facility,Active,1803 Country Club Road,New Bern,Mr. David Cox,(252) 637-7310
Craven,MSW,LF,2509-MSWLF-1999,CRSWMA - Long Term Regional Landfill,Active,7400 Old Highway 70 West,New Bern,Mr. Bobby Darden,(252) 633-1564
Craven,MSW,Trans,2510T-TRANSFER-1997,Cherry Point Transfer Station,Active,100 Mockingbird Hill Bldg 4185,MCAS Cherry Point,Mr. Nathan Arnett,(252) 466-5271
Craven,Type I,Compost,2511-COMPOST-2000,CRSWMA Composting Facility,Active,7400 Old U.S. Hwy 70 W.,New Bern,Mr. Bobby Darden,(252) 633-1564
Craven,LCID,LF,2513-LCID-2013,Craven LCID Landfill,Active,415 Streets Ferry Rd.,Vanceboro,Mr. Terry Morris,(252) 670-6749
Craven,Type III,Compost,2514-COMPOST-2014,Craven Ag Service Compost Facility,Active,2115 Hwy 55 West,New Bern,Mr. John Dunham,(252) 633-5334
Craven,LCID,LF,25B-LCID-,Cherry Point LCID,Active,Environmental Affairs Department,MCAS Cherry Point,Mr. Nathan Arnett,(252) 466-5271
Craven,LCID,LF,25I-LCID-,Cieszko LCID,Active,1090 NC Hwy 101,Havelock,Mr. Martin Cieszko,(252) 447-2096
Cumberland,CD,LF,2601-CDLF-1997,Cumberland County C&D Unit,Active,698 Ann Street,Fayetteville,Ms. Amanda Bader,(910) 438-4041
Cumberland,MSW,LF,2601-MSWLF-1997,Cumberland County Landfill,Active,698 Ann Street,Fayetteville,Ms. Amanda Bader,(910) 438-4041
Cumberland,MSW,Trans,2606T-TRANSFER-1998,Fort Bragg Transfer Station,Active,Building # O-3454,Fort Bragg,Mr. Shawn Hardy,(910) 396-2295
Cumberland,MSW,Trans,2609-TRANSFER-,Fort Bragg Transfer Station,Active,583 Winslow Street,Fayetteville,Mr. LeRoy Hatmaker,(910) 237-2825
Cumberland,Type I,Compost,2610-COMPOST-2011,Wilkes Road Yard Waste Facility,Active,771 Wilkes Road,Fayetteville,Ms. Amanda Bader,(919) 438-4041
Cumberland,LCID,LF,2612-LCID-2008,Highland LCID Landfill,Active,6020 Murchison Rd.,Fayetteville,Mr. Steve Waters,(910) 978-2412
Cumberland,CD,Trans,2613-TRANSFER-2010,AAA Hauling Of NC Inc,Active,1171 S Eastern Blvd,Fayetteville,Mr. Kenneth Hardin,(910) 321-6037
Cumberland,HHW,Collection,26FH-HHW-,Cumberland Co HHW Collection Facility,Active,823 Wilkes Road,Fayetteville,Ms. Amanda Bader,(910) 438-4041
Cumberland,LCID,LF,26K-LCID-,Doc Bennett LCID Landfill,Active,Sandy Run Rd.,Fayetteville,Mr. Steve Waters,(910) 978-2412
Cumberland,LCID,LF,26L-LCID-,Snow Hill LCID Landfill,Active,Claude Lee Road,Fayetteville,"Mr. Jerald F. McDonald, Jr.",(910) 630-2200
Cumberland,LCID,LF,26M-LCID-2012,"Autry Grading, Inc., LCID Landfill",Active,5124 US Hwy 301 S,Hope Mills,Mr. Kenneth Autry,(910) 424-3458
Currituck,MSW,Trans,2703T-TRANSFER-1996,Currituck Transfer Station,Active,153 Courthouse Road Suite 302,Currituck,Mr. Leighton Earwood,(252) 232-2504
Currituck,CD,Trans,2705T-TRANSFER-2011,Soundside C&D Waste Transfer & Recycling Center,Active,7565 Caratoke Hwy,Jarvisburg,Ms. Kim Newbern,(252) 491-8666
Currituck,CD,Trans,2706-TRANSFER-2013,"Bay Disposal, LLC",Active,8546 Caratoke Hwy,Powells Point,Mr. Joshua Smaltz,(757) 355-1591
Dare,CD,LF,2803-CDLF-1995,Dare County C&D Landfill,Active,1603 Cub Rd,Manns Harbor,Mr. Jonathan DeWeese,(252) 473-2059
Dare,MSW,Trans,2805T-TRANSFER-,Dare County Transfer Station,Active,1603 Cub Rd,Manns Harbor,Mr. Jonathan DeWeese,(252) 473-2059
Davidson,HHW,Collection,2906-HHW-,Davidson County HHW,Active,220 Davidson County Landfill Road,Lexington,Mr. Charlie Brushwood,(336) 240-0303
Davidson,MSW,LF,2906-MSWLF-2008,Davidson County MSW Lined Landfill,Active,1160 Old Hwy 29,Thomasville,Mr. Charlie Brushwood,(336) 240-0303
Davidson,MSW,Trans,2906-TRANSFER-2013,Davidson County Transfer Facility,Active,1242 Old Highway 29,Thomasville,Mr. Charlie Brushwood,(336) 240-0303
Davidson,Type I,TP,2908-TP-,"Todco, Inc. Wood Recycling",Active,1123 Roy Lopp Rd,Lexington,Mr. Todd Warfford,(336) 248-2001
Davidson,CD,Trans,2908-TRANSFER-2013,"Todco, Inc. - C&D Transfer",Active,1123 Roy Lopp Rd.,Lexington,Mr. Todd Warfford,(336) 248-2001
Davidson,LCID,LF,2909-LCID-2013,"Veach Landfill, L.L.C.",Active,4261 Old Thomasville Rd,Winston Salem,Mr. Michael Phillips,(336) 462-3643
Davie,Type III,Compost,3004-COMPOST-2014,Davie County Compost Facility,Active,221 Wallace Fam Lane,Advance,Mr. Eric Wallace,(704) 875-2975
Davie,Type III,Compost,3005-COMPOST-2014,Gallins Family Farm,Active,222 Rocky Dale Lane,Mocksville,Mrs. Lyndsy Gallins,(336) 448-9494
Duplin,MSW,Trans,3103-TRANSFER-2007,Duplin County Transfer Station,Active,325 Landfill Road,Rose Hill,Mr. Derrel Whaley,(910) 289-3091
Duplin,LCID,LF,31B-LCID-2000,Duplin County LCID Landfill,Active,325 Landfill Road,Rose Hill,Mrs. Joy Pickett,(910) 289-3091
Durham,Type I,Compost,3204-COMPOST-1991,Durham Compost Facility,Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186
Durham,HHW,Collection,3212-HHW-2014,Durham City of HHW,Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186
Durham,MSW,Trans,3212-TRANSFER-2014,"Durham, City of Transfer Station",Active,2115 E. Club Blvd,Durham,Mr. Dan Parker,(919) 560-4186
Durham,MSW,Trans,3214T-TRANSFER-2001,Stone Park Court Transfer Station,Active,210 Stone Park Ct.,Durham,Mr. William Davidson,(919) 596-1363
Durham,Type III,Compost,3216-COMPOST-2017,"New Soil Vermiculture, LLC",Active,314 Latta Road,Durham,Mr. Garry Lipscomb,(202) 374-0403
Durham,CD,TP,3217-MWP-2019,Elite Waste Services Holman MWP Facility,Active,201 S. Holman St.,Durham,Mr. Gary Getty,(321) 441-5977
Durham,LCID,LF,32F-LCID-,Fogleman and Fogleman Landfill & Recycling Facility,Active,4005 Intermere Road,Durham,Mrs. Linda Fogleman,(919) 682-0068
Durham,LCID,LF,32I-LCID-,Currin Landfill #2,Active,1810 Coley Road,Durham,Mr. Glenn Currin,(919) 876-1138
Durham,LCID,LF,32J-LCID-1999,Waste Industries- Stone Park Ct. LCID LF,Active,208 Stone Park Ct,Durham,Mr. Donald Plessinger,(919) 557-9583
Edgecombe,CD,LF,3301-CDLF-1997,Edgecombe County CDLF,Active,2872 Colonial Road,Tarboro,Ms. Gloria Moseley,(258) 827-4253
Edgecombe,MSW,Trans,3302T-TRANSFER-1998,Edgecombe County Transfer Station,Active,2872 Colonial Rd,Tarboro,Ms. Gloria Moseley,(252) 827-4253
Edgecombe,Type IV,Compost,3303-COMPOST-2010,"Eastern Compost, LLC",Active,8487 Battleboro-Leggett Road,Battleboro,Mrs. Jean Smith,(252) 446-2536
Edgecombe,LCID,LF,33F-LCID-,Barnhill Contracting LCID Landfill,Active,10826 NC 97,Rocky Mount,Mr. Brent Caudle,(252) 904-3358
Edgecombe,LCID,LF,33G-LCID-,"Rocky Mount , City of LCID Landfill",Active,3873 Old Battleboro Road,Rocky Mount,Mr. Chris Pridgen,(252) 467-4909
Forsyth,MSW,LF,3402-MSWLF-1997,Hanes Mill Road Landfill,Active,325 West Hanes Mill Road,Winston-Salem,Mrs. Janis McHargue,(336) 747-7310
Forsyth,YW,TP,3409-TP-,Overdale Yard Waste Facility,Active,4010 Old Milwaukee Lane,Winston-Salem,Mrs. Janis NcHargue,(336) 747-7310
Forsyth,CD,LF,3412-CDLF-1995,"Winston-Salem, City of Old Salisbury Road CDLF",Active,3336 Old Salisbury Road,Winston-Salem,Mrs. Janis McHargue,(336) 747-7310
Forsyth,HHW,Collection,3415-HHW-2010,"Resource Recovery And Reduction, Co.",Active,"1401 S. MLK, Jr. Drive",Winston-Salem,Ms. Michele Sakwa,(336) 784-4300
Forsyth,MSW,Trans,3416T-TRANSFER-,Overdale Road Transfer Station,Active,5000 Overdale Road,Winston-Salem,Mr. Carldelle Patrick,(336) 714-4301
Forsyth,LCID,TP,3419-TP-,"Lowder Recycling And Disposal, LLC",Active,2810 GRIFFITH RD,WINSTON SALEM,Mr. MATT ALSPAUGH,(336) 760-0477
Forsyth,Indus,TP,3420-INDUS-2005,OmniSource Southeast,Active,2233 Wal-Pat Rd,Smithfield,Mr. James Winegar,(919) 796-3023
Forsyth,Type III,Compost,3421-COMPOST-2010,Dixie Classic Fairgrounds,Active,421 west 27th street,Winston Salem,Mr. David Smith,(336) 409-4881
Forsyth,LCID,TP,3422-TP-,Slater Industries Treatment and Processing Facility,Active,945 Valley Stream Road,Winston-Salem,Mr. Joe Slater,(336) 416-6097
Forsyth,Type I,Compost,3423-COMPOST-,"Winston-Salem, City of Compost",Active,180 North Star Drive,Rural Hall,Ms. Janis McHargue,(336) 747-7310
Forsyth,CD,Trans,3424-TRANSFER-2010,"Abbey Green, Inc",Active,5030 Overdale Rd.,Winston Salem,Mr. Ronald Petty,(336) 207-6052
Forsyth,YW,TP,3425-TP-2011,"Winston-Salem, City of Treatment & Processing Site",Active,3 W. 32nd Street,Winston-Salem,Mr. Tobias Mack,(336) 734-1490
Forsyth,Type I,Compost,3427-COMPOST-2015,Piney Hill Acres Large Type 1 Compost Unit,Active,2020 Piney Grove Rd.,Kernersville,Mr. David Lawson,(336) 682-2317
Forsyth,LCID,LF,34AA-LCID-,Piney Hill Acres LCID Landfill,Active,2020 Piney Grove Rd.,Kernersville,Mr. David Lawson,(336) 682-2317
Franklin,MSW,Trans,3503-TRANSFER-,Franklin County Transfer Station,Active,32 Landfill Road,Franklinton,"Mr. Lee Bodenhamer, III",(919) 340-4670
Franklin,LCID,LF,3505-LCID-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747
Franklin,CD,MatRecovery,3505-MWP-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747
Franklin,CD,TP,3505-TP-2020,Wall Recycling,Active,2095 US-1,Franklinton,Mr. Dan Jarboe,(919) 906-2747
Franklin,Type III,Compost,3506-COMPOST-2012,David Brantley & Sons Compost Facility,Active,154 Green House Dr,Zebulon,Mr. Eric Vance Reynolds JR,(978) 209-2966
Franklin,Tire,TP,3507-TIRETP-2016,"PRTI, INC.",Active,2105 US 1 HWY,Franklinton,Mr. Scott Clagett,(919) 272-4414
Gaston,CD,LF,3606-CDLF-1995,Gaston County C&D Landfill,Active,3155 Philadelphia Church Road,Dallas,Mr. Ray Maxwell,(704) 862-7551
Gaston,MSW,LF,3606-MSWLF-1997,Gaston County Landfill,Active,3155 Philadelphia Church Road,Dallas,Mr. Ray Maxwell,(704) 862-7551
Gaston,MSW,Trans,3608-TRANSFER-1993,Waste Management Of Carolinas,Active,2712 Lowell Rd,Gastonia,Mr. Dustin Maxwell,(704) 869-7663
Gaston,HHW,Collection,3609TP-HHW-,Gaston County HHW Collection Facility,Active,120 Leisure Lane,Dallas,Mrs. Marcie Smith,(704) 922-0267
Gaston,Indus,LF,3612-INDUS-2008,Duke Energy Carolinas - Allen,Active,253 Plant Allen Road,Belmont,Ms. Courtney Murphy,(704) 382-7171
Gaston,Type III,Compost,3613-COMPOST-2017,Earth Farms Organics,Active,351 Colt Thornburg Road,Dallas,Mr. William Cozart,(704) 280-4005
Gaston,Type I,Compost,3614-COMPOST-2011,Gastonia Compost,Active,PO Box 1748,GASTONIA,Mr. Wayne Hendrickson,(704) 214-9086
Gaston,Medical,TP,3615-TP-2018,Trilogy MedWaste Southeast LLC,Active,148 Boxwood Lane,Gastonia,Mr. Jerry Norris,(704) 503-8134
Gaston,Medical,TP,3617-MWP-2016,"Daniels Sharpsmart, Inc.",Active,1851 Chespark Dr.,Gastonia,Mr. Daniel Weaver,(704) 842-7103
Gaston,LCID,LF,36A-LCID-2010,Old 27 LCID Landfill,Active,130 Tate st,Mt Holly,Mr. Dwayne McCORKLE,(704) 718-6386
Graham,MSW,Trans,3803-TRANSFER-,Graham County Transfer Station,Active,400 Snowbird Rd.,Robbinsville,Mr. Gavin Colvard,(828) 479-9369
Granville,MSW,LF,3901-MSWLF-2012,Oxford Subtitle D MSWLF,Active,6584 Landfill Road,Oxford,Mr. Jason Falls,(919) 691-0928
Granville,YW,TP,3903TP-TP-2009,John Bryan Yard Waste Recycling,Active,3092 Sam Usry Rd,Oxford,Mr. John Bryan,(919) 690-2640
Greene,CD,LF,4002-CDLF-1997,Greene County CDLF,Active,105 landfill rd,Walstonburg,Mr. David Jones,(252) 747-5720
Guilford,CD,LF,4103-CDLF-1998,"Greensboro, City of White Street Landfill",Active,2503 White Street,Greensboro,Mr. Richard Lovett,(336) 373-4188
Guilford,Type I,Compost,4103-COMPOST-2003,"Greensboro, City of Compost Facility",Active,2503 White Street,Greensboro,Mr. Richard Lovett,(336) 373-4188
Guilford,MSW,LF,4104-MSWLF-1991,"High Point, City of MSW Landfill",Active,3940 Kivett Dr,High Point,Mr. Mike Spencer,(336) 688-3454
Guilford,Type I,Compost,4110-COMPOST-,Ingleside Compost Facility,Active,3001 Ingleside Dr,High Point,Mr. Michael Spencer,(336) 688-3454
Guilford,MSW,LF,4112-MSWLF-1997,"Greensboro, City of White Street Landfill",Active,2503 White Street,Greensboro,Mr. David Deel,(336) 373-4188
Guilford,CD,LF,4116-CDLF-2012,"WI-High Point Landfill, LLC, a wholly owned subsidiary of Waste Industries USA, LLC.",Active,5830 Riverdale Dr,Jamestown,Mr. Seth Heath,(336) 668-3712
Guilford,MatRecovery,TP,4116-MWP-2012,High Point C&D Waste Reclamation,Active,5830 Riverdale Dr.,Jamestown,Mr. Seth Heath,(336) 668-3712
Guilford,CD,LF,4117-CDLF-2008,A-1 Sandrock C&D Landfill,Active,2091 Bishop Road,Greensboro,Mr. Jason Tarkenton,(336) 382-9707
Guilford,MSW,Trans,4118T-TRANSFER-,Bishop Road Transfer Station,Active,2140 Bishop Road,Greensboro,Mr. Carldelle Patrick,(336) 997-8342
Guilford,Tire,TP,4119TP-TIRETP-,Guilford Cty Scrap Tire & White Goods Collection Facility,Active,2138 Bishop Road,Greensboro,Mr. Clyde Harding,(336) 641-3792
Guilford,MSW,Trans,4120T-TRANSFER-,"Greensboro, City of Transfer Station",Active,6310 Burnt Poplar Road,Greensboro,Mr. Richard Lovett,(336) 373-4188
Guilford,CD,Trans,4122T-TRANSFER-2012,WI Burnt Poplar Transfer LLC,Active,6313 Burnt Poplar Rd,Greensboro,Mr. Seth Heath,(336) 668-3712
Guilford,LCID,LF,41I-LCID-,"Winfree Road Landfill, Inc.",Active,7965 Winfree Rd,Summerfield,Mr. Tim Friddle,(336) 643-3791
Guilford,LCID,LF,41J-LCID-2010,"Heritage Farm Properties, LLC LCID Landfill",Active,2124 Scalesville Road,Summerfield,Mr. Gary Swing,(336) 681-3300
Guilford,LCID,LF,41O-LCID-,Doggett Construction Company,Active,2075 Bishop Road,Greensboro,Mr. Gary Swing,(336) 681-3300
